bill_id,state,identifier,title,score_numeric,advanced,derived_status,first_action_date,latest_passage_date,latest_action_date
ocd-bill/940fcf7a-104f-480d-bcc1-66fd4ccc8cfa,New York,S 4946,Establishes a clean and resilient energy program,7.0,0,active_in_committee_or_chamber,2023-02-17 00:00:00+00:00,,2024-01-03 00:00:00+00:00
ocd-bill/82c87615-757d-4c83-9760-07de5f26b9b1,New York,A 8808,"Enacts into law major components of legislation necessary to implement the state transportation, economic development and environmental conservation budget for the 2024-2025 state fiscal year",8.0,1,enacted,2024-01-17 00:00:00+00:00,2024-04-18 00:00:00+00:00,2024-04-20 00:00:00+00:00
ocd-bill/67233faf-7318-4839-b91b-670cabee3880,New York,S 8308,"Enacts into law major components of legislation necessary to implement the state transportation, economic development and environmental conservation budget for the 2024-2025 state fiscal year",8.0,1,active_in_committee_or_chamber,2024-01-17 00:00:00+00:00,,2024-04-18 00:00:00+00:00
ocd-bill/d92a1b33-e8c4-4df0-b138-e78e5cf1586d,New York,S 9960,Relates to the regulation of energy consumption by data centers,3.0,0,active_in_committee_or_chamber,2024-12-13 00:00:00+00:00,,2024-12-13 00:00:00+00:00
ocd-bill/52497711-2566-479d-817d-86ef8f5b994b,New York,S 248,Relates to defining community significant projects and including such projects in the excelsior jobs program,7.0,0,active_in_committee_or_chamber,2025-01-08 00:00:00+00:00,,2026-01-07 00:00:00+00:00
ocd-bill/c1f1f18d-9b0a-4ee7-8f17-795d2eb7bb6f,New York,S 97,"Enacts the ""build to need act""",6.0,0,active_in_committee_or_chamber,2025-01-08 00:00:00+00:00,,2026-01-07 00:00:00+00:00
ocd-bill/396f2e7e-637c-40c4-a628-c746565dcc18,New York,S 2478,Establishes a clean and resilient energy program,7.0,0,active_in_committee_or_chamber,2025-01-21 00:00:00+00:00,,2026-01-07 00:00:00+00:00
ocd-bill/9c34938b-16f0-4746-9c68-b4bd0f19eb25,New York,A 4559,"Enacts the ""build to need act""",7.0,0,active_in_committee_or_chamber,2025-02-04 00:00:00+00:00,,2026-01-07 00:00:00+00:00
ocd-bill/de1e7746-1d99-42cc-b8e0-7a266d50e932,New York,A 6461,Provides for the development and creation of distributed ledger technology and business entities that develop such technology,7.0,0,active_in_committee_or_chamber,2025-03-05 00:00:00+00:00,,2026-01-07 00:00:00+00:00
ocd-bill/c4a474bf-4c43-4a74-914d-0176ce720aee,New York,S 6394,Relates to the regulation of energy consumption by data centers,3.0,1,active_in_committee_or_chamber,2025-03-13 00:00:00+00:00,,2026-05-30 00:00:00+00:00
ocd-bill/7592d3d2-d29a-4ce0-9449-0c192478c9c3,New York,A 7806,Establishes a clean and resilient energy program,8.0,0,active_in_committee_or_chamber,2025-04-11 00:00:00+00:00,,2026-01-07 00:00:00+00:00
