source_query,post_owner.id,owner_name,qualifying_rows,unique_post_ids,unique_normalized_texts,repeated_id_rows,repeated_text_rows
datacenter,1458483528593989,Uninets Consulting Pvt. Ltd.,21,21,18,0,3
datacenter,1149747279639152,SECO News,4,4,2,0,2
datacenter,2493112551074525,Safe Secure PTY,3,3,1,0,2
datacenter,1334094071657928,Robert A Sebastiano,4,4,2,0,2
datacenter,1072814850647799,Pure Storage,228,228,226,0,2
datacenter,3170415909791191,G Bangla-24,3,3,1,0,2
datacenter,1337535336913682,The CEO Magazine,5,5,3,0,2
datacenter,550072184126020,G-PEP 133,3,3,1,0,2
datacenter,1332353038286138,Ataur Rahman,18,18,16,0,2
datacenter,796568359460831,Success Steps,4,4,2,0,2
datacenter,1027433035662247,Kayoule Rare Books,5,5,3,0,2
datacenter,1005674932131521,Technology Era,16,16,14,0,2
datacenter,1371018730926200,Murata,14,14,12,0,2
datacenter,2959779384221856,Tansukhgiri Maheshgiri Gosai,3,3,1,0,2
datacenter,2303663979993533,Glob Network,21,21,19,0,2
datacenter,1307115757843729,TechBook365,7,7,5,0,2
datacenter,1305085837273285,Nexgen Shop,3,3,1,0,2
datacenter,472307185736043,CAMTEL (Cameroon Telecommunications),4,4,2,0,2
datacenter,1588738482320376,UAE JOBS,3,3,1,0,2
datacenter,2391961767867090,Pengravity CSS PMS,3,3,1,0,2
datacenter,348371954845185,Supermicro,87,87,85,0,2
datacenter,1342709820438247,Melbourne Convention and Exhibition Centre (MCEC),4,4,2,0,2
datacenter,1007608581761365,Factpedia,4,4,2,0,2
datacenter,819728449491546,KASPA Insights,3,3,1,0,2
datacenter,1030035589658435,Think Again,3,3,1,0,2
datacenter,406680525097132,Prosyscom Tech,3,3,1,0,2
datacenter,975748075476164,Firewall Technologies Limited,3,3,1,0,2
datacenter,492029567064643,SequelNet,3,3,1,0,2
datacenter,1296074561631940,Cybersmart India,3,3,1,0,2
datacenter,808932998426071,The Fact News,3,3,1,0,2
datacenter,1700213068032999,Hackers Tech,3,3,1,0,2
datacenter,334712116072288,Ntchito,4,4,2,0,2
datacenter,2053320728726993,Science in Seconds,3,3,1,0,2
datacenter,1429460724449584,Bucks County Herald Newspaper,5,5,3,0,2
datacenter,4321870668066616,Iancarrollshow,3,3,1,0,2
datacenter,25222708737412919,WTE Infra Projects Pvt Ltd,4,4,2,0,2
datacenter,775529601482285,Rounaq Bakshi,4,4,2,0,2
datacenter,720494620634364,Delta Capital,6,6,4,0,2
datacenter,1744705252914702,Surinderpal Singh,14,14,12,0,2
datacenter,1428530908626065,Monowar Hussain,3,3,1,0,2
datacenter,1507513797333059,X Day,3,3,1,0,2
datacenter,1884567549159382,Ali Hassan,4,4,2,0,2
datacenter,638343042114762,jankari express ,3,3,1,0,2
datacenter,1137868675077468,Akil AK Kurji,3,3,1,0,2
datacenter,880684634240370,Sharemandu,4,4,2,0,2
datacenter,2019109461989625,Navégalo,20,20,18,0,2
datacenter,1497067011429273,محمد زبیر عالم۔,3,3,1,0,2
datacenter,1496680468865732,Jersey Alerts,4,4,2,0,2
datacenter,1651899915640644,Legrand,46,46,44,0,2
datacenter,628851489469030,Cummins South Pacific,20,20,18,0,2
datacenter,24140809638914444,AlifBey.Tech,4,4,2,0,2
datacenter,825767499457755,Lake of the Ozarks Lifestyle,5,5,3,0,2
datacenter,25100959089529814,Skilled Hindustan,3,3,1,0,2
datacenter,1211836044005435,Aliens Earth 2.0,3,3,1,0,2
datacenter,1479951483129533,Babyt Sexton,12,12,10,0,2
datacenter,1793907394416838,Nevada Public Radio,4,4,2,0,2
datacenter,765621193149581,Host Nogor,3,3,1,0,2
datacenter,712185543640823,Mass Awakening,3,3,1,0,2
datacenter,831523292589913,HostBreak Web Hosting,3,3,1,0,2
datacenter,876629097523794,The Extraterrestrial Library,4,4,2,0,2
datacenter,712983701752601,Harold Grayson,3,3,1,0,2
datacenter,2068986853447844,Nature's Harmony,3,3,1,0,2
datacenter,1096316011834164,Architecture Lab Magazine,3,3,1,0,2
datacenter,390122246925971,Hustle Rush,3,3,1,0,2
datacenter,1449820018960688,Microchip Technology Inc.,46,46,44,0,2
datacenter,1129347805630157,Karren J. Cooper,3,3,1,0,2
datacenter,1448812876836817,Jordan Smith,4,4,2,0,2
datacenter,2614777115537777,The Hawk’s Eye - C & N,2,2,1,0,1
datacenter,771551198122453,All Things Atari & Then Some,2,2,1,0,1
datacenter,772741818460081,Digital Tnjoker666,17,17,16,0,1
